year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified,school_cluster_code,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2011,Středočeský kraj,CZ020,Central Bohemian Region,Regionální školství,All Schools,21035.6,17457,3578.6,16992.7,4042.9,ALL,0.18,24397.67,26008.93,24683.16,0.938049615,-1611.26
2010,Středočeský kraj,CZ020,Central Bohemian Region,Střední škola,Upper-Secondary School,4245.6,2474.3,1771.3,3537.2,708.4,SS_VOS_K,0.34,25899.57,26487.88,26101.86,0.977789613,-588.31
2010,Středočeský kraj,CZ020,Central Bohemian Region,Základní škola,Basic School,6769.6,5854.8,914.8,5304.7,1464.9,ZS_SEN_1,0.11,24605.38,24522.52,24595.89,1.003378891,82.86
2011,Plzeňský kraj,CZ032,Plzeň Region,Základní škola,Basic School,3094.1,2635.9,458.2,2789.8,304.3,ZS_SEN_1,0.13,25173.78,25493.38,25215.14,0.987463633,-319.59
2011,Karlovarský kraj,CZ041,Karlovy Vary Region,Základní škola,Basic School,1705.1,1431.8,273.3,1166.8,538.3,ZS_SEN_1,0.15,24663.36,24868.27,24693.78,0.991760065,-204.91
2010,Středočeský kraj,CZ020,Central Bohemian Region,Mateřská škola,Nursery School,2847.6,2844.5,3.1,2450.9,396.7,MS,0,19068.65,,19065.82,,
2011,Středočeský kraj,CZ020,Central Bohemian Region,Mateřská škola,Nursery School,3048.7,3041.1,7.6,2538.9,509.8,MS,0,19593.15,,19587.89,,
2011,Středočeský kraj,CZ020,Central Bohemian Region,Střední škola,Upper-Secondary School,4146.3,2437.2,1709.1,3492.9,653.4,SS_VOS_K,0.35,26811.47,27120.97,26920.23,0.988588485,-309.49
2012,Středočeský kraj,CZ020,Central Bohemian Region,Mateřská škola,Nursery School,3255.5,3246.7,8.8,2623.7,631.8,MS,0,22533.38,,22527.45,,
2012,Středočeský kraj,CZ020,Central Bohemian Region,Regionální školství,All Schools,21293.3,17781.5,3511.8,16736.2,4557.1,ALL,0.17,25474.61,26577.07,25664.6,0.958518435,-1102.46
2012,Středočeský kraj,CZ020,Central Bohemian Region,Střední škola,Upper-Secondary School,4025.2,2385.5,1639.7,3300.5,724.7,SS_VOS_K,0.35,27018.58,27167.82,27070.19,0.994506679,-149.24
2012,Středočeský kraj,CZ020,Central Bohemian Region,Základní škola,Basic School,6924,6018.5,905.5,5334.2,1589.8,ZS_SEN_1,0.12,26218.49,26445.11,26246.73,0.991430479,-226.62
2013,Středočeský kraj,CZ020,Central Bohemian Region,Mateřská škola,Nursery School,3464.2,3453.7,10.5,2872.6,591.6,MS,0,22702.7,,22699.46,,
2013,Středočeský kraj,CZ020,Central Bohemian Region,Regionální školství,All Schools,21456.6,17999.1,3457.5,17501.4,3955.2,ALL,0.16,25724.26,26741.09,25882.93,0.961974925,-1016.83
2013,Středočeský kraj,CZ020,Central Bohemian Region,Střední škola,Upper-Secondary School,3890.3,2319.1,1571.2,3316.9,573.4,SS_VOS_K,0.34,27065.27,27223.36,27118.81,0.994192807,-158.09
2013,Středočeský kraj,CZ020,Central Bohemian Region,Základní škola,Basic School,6961.2,6047.1,914.1,5573.9,1387.3,ZS_SEN_1,0.12,26791.27,26646.05,26773.45,1.00544975,145.21
2014,Středočeský kraj,CZ020,Central Bohemian Region,Mateřská škola,Nursery School,3658.8,3645.8,13,3073.3,585.5,MS,0,23017.15,,23013.31,,
